K, CoverageSize
1647, 0.0016
1648, 0.0032
1649, 0.064
1650, 0.0128
1651, 0.0096
1652, 0.0192
1653, 0.0192
1654, 0.0192
1655, 0.0192
1656, 0.096
1657, 0.008
1658, 0.0128
1659, 0.0032
1660, 0.072
1661, 0.0064
1662, 0.0128
1663, 0.0256
1664, 0.0192
1665, 0.0576
1666, 0.0384
1667, 0.0192
1668, 0.016
1669, 0.016
1670, 0.0512
1671, 0.064
1672, 0.0128
1673, 0.096
1674, 0.0048
1675, 0.0512
1676, 0.0576
1677, 0.0192
1678, 0.0096
1679, 0.0192
1680, 0.0144
1681, 0.0128
1682, 0.0384
1683, 0.0096
1684, 0.0192
1685, 0.0096
1686, 0.0576
1687, 0.0864
1688, 0.0384
1689, 0.0032
1690, 0.016
1691, 0.1296
1692, 0.0768
1693, 0.0096
1694, 0.0096
1695, 0.0128
1696, 0.0032
1697, 0.0288
1698, 0.0256
1699, 0.008
1700, 0.0192
1701, 0.0192
1702, 0.0064
